Record_Type,Original_Entry,Year,03/01,10/01,17/01,24/01,31/01,07/02,14/02,21/02,28/02,07/03,14/03,21/03,28/03,04/04,11/04,18/04,25/04,02/05,09/05,16/05,23/05,30/05,07/06,14/06,NA,27/06,04/07,11/07,25/07,01/08,08/08,15/08,22/08,29/08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Notes
Species,Robin,1993,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Black Redstart,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Whinchat,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Stonechat,1993,,,,,,,,O,,,,,,,NA,,,,,,,,,,NA,,,O,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Wheatear,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Blackbird,1993,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,A,A,A,A,A,A,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Fieldfare,1993,,,2x F12,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Song Thrush,1993,,,U,U,,C,C,U,U,U,C,C,C,C,NA,F,F,F,F,F,F,F,F,F,NA,F,F,F,F,C,C,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Redwing,1993,F9,,A,U,,,2,,2,,,,O*,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Mistle Thrush,1993,U,F,F,C,C,U,F,C,C,C,F,C,C,C,NA,C,C,F,F,F,C,F,F,F,NA,C,C,C,C,U,U,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Whitethroat,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Black Cap,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Chiff Chaff,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Willow Warbler,1993,,,,,,,,,,,,,,,NA,2,,,,,,,,,NA,,,,,,U,,,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Goldcrest,1993,,U,U,U,U,U,U,F,U,U,U,F,C,C,NA,C,C,F,F,U,F,F,F,F,NA,F,F,F,F,F,F,F,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Spotted Flycatcher,1993,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Long-Tailed Tit,1993,,,,,F5,,,2,5,U,,U,F,U,NA,,,,O,,,,,,NA,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Species,Coal Tit,1993,U,U,U,U,U,U,U,U,U,U,U,F,F,F,NA,F,F,U,U,F,F,F,,U,NA,U,U,U,U,U,U,U,F,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
