Record_Type,Original_Entry,Year,NA,NA,NA,NA,NA,NA,17/02,24/02,04/03,NA,18/03,25/03,01/04,NA,15/04,NA,NA,NA,NA,NA,27/05,03/06,10/06,17/06,NA,01/07,08/07,15/07,NA,NA,NA,NA,NA,NA,NA,NA,16/09,23/09,30/09,07/10,NA,NA,NA,04/11,11/11,18/11,25/11,02/12,09/12,NA,NA,NA,Notes
Species,Dunnock,1995,NA,NA,NA,NA,NA,NA,C,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,C,C,C,C,NA,C,C,C,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Robin,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Black Redstart,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Whinchat,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Stonechat,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,O,NA,NA,NA,O,3R,,2R,2R,2R,NA,NA,NA,
Species,Wheatear,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Blackbird,1995,NA,NA,NA,NA,NA,NA,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,A,A,A,NA,NA,NA,NA,NA,NA,NA,NA,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,NA,NA,NA,
Species,Fieldfare,1995,NA,NA,NA,NA,NA,NA,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Song Thrush,1995,NA,NA,NA,NA,NA,NA,,,,NA,O,,,NA,NA,NA,NA,NA,NA,NA,,,O,,NA,,,O,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,,,,,,NA,NA,NA,
Species,Redwing,1995,NA,NA,NA,NA,NA,NA,,,O,NA,,,,NA,NA,NA,NA,NA,NA,NA,,,,,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,,U*,F8,C,A,A,NA,NA,NA,"*""9th Nov w/ mistle thrushes"""
