Record_Type,Original_Entry,Year,07/01,14/01,21/01,28/01,04/02,11/02,18/02,25/02,04/03,11/03,18/03,25/03,01/04,08/04,15/04,22/04,29/04,06/05,13/05,20/05,27/05,03/06,10/06,17/06,24/06,01/07,08/07,15/07,22/07,29/07,NA,NA,NA,26/08,02/09,09/09,16/09,23/09,30/09,07/10,14/10,21/10,28/10,04/11,11/11,18/11,25/11,02/12,09/12,16/12,23/12,30/12,Notes
Species,Dunnock,1990,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,NA,NA,NA,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,
Species,Sedge Warbler,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Blackcap,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Whitethroat,1990,,,,,,,,,,,,,,,,,,O,O,U,,,,,,,,,,,NA,NA,NA,,,,,,,,,,,,,,,,,,,,
Species,Willow Warbler,1990,,,,,,,,,,,,,,O*,,4,C,C,2R,2R,2R,2R,2R,2R,2R,2R,,,,,NA,NA,NA,O,C,U,U,F,,,,,,,,,,,,,,,
Species,Chiff Chaff,1990,,,,,,,,,,,,,C,U,O,O,F,U,,U,2R,2R,,2R,2R,2R,2R,,,,NA,NA,NA,,U,,O,C,O,U,,,O,,,,,,,,,,
Species,Goldcrest,1990,U,F,F,F,C,C,C,C,C,F12,U,C,C,C,C,C,C,C,C,C,C,C,C,C,C,U,C,C,C,C,NA,NA,NA,C,C,C,C,C,C,A,A,A,A,A,A,A,A,A,A,A,C,U,
Species,Spotted Flycatcher,1990,,,,,,,,,,,,,,,,,,,,,,,,,,O,,,,,NA,NA,NA,,1R,,,O,,,,,,,,,,,,,,,
Species,Robin,1990,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NA,NA,NA,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,
Species,Stonechat,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,,,,,,O,O,,O,,,,,,,,,,,
